transition_id,gvkey,cik,coname,appt_date,classification,predecessor,successor,pred_last_full_fy,succ_first_full_fy
3563,10499,97476.0,TEXAS INSTRUMENTS INC,2018-07-17,internal,Brian T. Crutcher,Richard K. Templeton,2017,2019
420,2136,732712.0,VERIZON COMMUNICATIONS INC,2018-08-01,internal,Lowell C. McAdam,Hans E. Vestberg,2017,2019
6589,28742,908255.0,BORGWARNER INC,2018-08-01,internal,James R. Verrier,Frederic B. Lissalde,2017,2019
9962,9771,91142.0,SMITH (A.O.),2018-09-01,internal,Ajita G. Rajendra,Kevin J. Wheeler,2017,2019
5971,24925,882835.0,ROPER TECHNOLOGIES INC,2018-09-01,internal,Brian D. Jellison,L. Neil Hunn,2017,2019
3660,10793,100493.0,TYSON FOODS INC -CL A,2018-09-30,internal,Thomas P. Hayes,Noel White,2017,2019
9177,177376,,DISCOVER FINANCIAL SVCS,2018-10-01,internal,David W. Nelms,Roger C. Hochschild,2017,2019
8120,114628,886982.0,GOLDMAN SACHS GROUP INC,2018-10-01,internal,Lloyd C. Blankfein,David M. Solomon,2017,2019
1525,5047,40545.0,GENERAL ELECTRIC CO,2018-10-01,external,John L. Flannery,"H. Lawrence Culp, Jr.",2017,2019
2847,8479,77476.0,PEPSICO INC,2018-10-03,internal,"Indra K. Nooyi, M.P.P.M.",Ramon L. Laguarta,2017,2019
9534,24782,1585364.0,PERRIGO CO PLC,2018-10-08,external,Uwe F. Rehrhoff,Murray S. Kessler,2017,2019
6959,30822,726728.0,REALTY INCOME CORP,2018-10-16,internal,John P. Case,Sumit Roy,2017,2019
4142,12151,1024305.0,COTY INC,2018-11-12,external,Camillo Pane,Pierre Laubies,2017,2019
8615,143356,1137774.0,PRUDENTIAL FINANCIAL INC,2018-12-01,internal,"John Robert Strangfeld, Jr.",Charles F. Lowrey,2017,2019
6819,29868,912242.0,MACERICH CO,2018-12-01,internal,"Arthur M. Coppola, CPA",Thomas E. O'Hern,2017,2019
8010,100873,,NIELSEN HOLDINGS PLC,2018-12-03,external,Dwight Mitchell Barns,David Kenny,2017,2019
2103,6565,707549.0,LAM RESEARCH CORP,2018-12-05,internal,Martin B. Anstice,Timothy M. Archer,2017,2019
544,2435,14693.0,BROWN FORMAN CORP,2018-12-31,internal,Paul C. Varga,Lawson E. Whiting,2017,2019
3371,10035,93751.0,STATE STREET CORP,2018-12-31,internal,"Joseph L. Hooley, Esq.",Ronald P. O'Hanley,2017,2019
5944,24856,882095.0,GILEAD SCIENCES INC,2018-12-31,external,"John F. Milligan, Ph.D.",Daniel P. O'Day,2017,2019
2633,7985,1133421.0,NORTHROP GRUMMAN CORP,2018-12-31,internal,Wesley G. Bush,Kathy J. Warden,2017,2019
5482,22260,860730.0,HCA HEALTHCARE INC,2018-12-31,internal,R. Milton Johnson,Samuel N. Hazen,2017,2019
6585,28733,906107.0,EQUITY RESIDENTIAL,2018-12-31,internal,David J. Neithercut,Mark J. Parrell,2017,2019
2860,8530,78003.0,PFIZER INC,2019-01-01,internal,Ian C. Read,Albert Bourla,2018,2019
3906,11456,106535.0,WEYERHAEUSER CO,2019-01-01,internal,Doyle R. Simons,Devin W. Stockfish,2018,2019
2068,6435,55785.0,KIMBERLY-CLARK CORP,2019-01-01,internal,Thomas J. Falk,Michael D. Hsu,2018,2019
3393,10096,1393311.0,PUBLIC STORAGE,2019-01-01,internal,"Ronald L. Havner, Jr.","Joseph D. Russell, Jr.",2018,2019
6396,27928,896878.0,INTUIT INC,2019-01-01,internal,Brad D. Smith,Sasan K. Goodarzi,2018,2019
9163,176928,1383312.0,BROADRIDGE FINANCIAL SOLUTNS,2019-01-02,internal,Richard J. Daly,Timothy C. Gokey,2018,2020
8619,143357,1467373.0,ACCENTURE PLC,2019-01-10,internal,Pierre Nanterme,Julie Sweet,2018,2020
2762,8264,1004980.0,PG&E CORP,2019-01-14,external,Geisha Jimenez Williams,William Dean Johnson,2018,2020
3964,11550,783325.0,WEC ENERGY GROUP INC,2019-02-01,internal,Gale E. Klappa,Joseph Kevin Fletcher,2018,2020
6468,28192,,HOWMET AEROSPACE INC,2019-02-06,external,"Charles P. Blankenship, Jr.",John C. Plant,2018,2020
4736,14359,1038357.0,PIONEER NATURAL RESOURCES CO,2019-02-22,external,Timothy L. Dove,Scott D. Sheffield,2018,2020
654,2710,16918.0,CONSTELLATION BRANDS -CL A,2019-03-01,internal,"Robert S. Sands, II",William A. Newlands,2018,2020
8067,111864,1058290.0,COGNIZANT TECH SOLUTIONS,2019-03-31,external,Francisco D'Souza,Brian Humphries,2018,2020
2311,7171,927653.0,MCKESSON CORP,2019-03-31,internal,John H. Hammergren,Brian S. Tyler,2018,2020
7240,61483,927066.0,DAVITA INC,2019-04-29,internal,Kent J. Thiry,Javier J. Rodriguez,2018,2020
861,3170,21665.0,COLGATE-PALMOLIVE CO,2019-04-29,internal,Ian M. Cook,Noel R. Wallace,2018,2020
8463,133768,1099219.0,METLIFE INC,2019-04-30,internal,Steven Albert Kandarian,Michel A. Khalaf,2018,2020
1445,4818,1124198.0,FLUOR CORP,2019-05-01,internal,David Thomas Seaton,Carlos M. Hernandez,2018,2020
8927,162254,1306830.0,CELANESE CORP,2019-05-01,external,Mark C. Rohr,Lori J. Ryerkerk,2018,2020
7882,65609,1043277.0,C H ROBINSON WORLDWIDE INC,2019-05-07,internal,John P. Wiehoff,"Robert C. Biesterfeld, Jr.",2018,2020
6121,25338,,BED BATH & BEYOND INC,2019-05-13,external,Steven H. Temares,Mark J. Tritton,2018,2020
7923,65886,,AFFILIATED MANAGERS GRP INC,2019-05-29,internal,Nathaniel Dalton,Jay C. Horgen,2018,2020
8628,143974,,ALLIANCE DATA SYSTEMS CORP,2019-06-05,internal,Edward J. Heffernan,Melisa A. Miller,2018,2020
444,2184,764478.0,BEST BUY CO INC,2019-06-11,internal,Hubert Joly,Corie S. Barry,2018,2020
1691,5568,1637459.0,KRAFT HEINZ CO,2019-06-25,external,Bernardo Vieira Hees,Miguel Patricio,2018,2020
2570,7875,814453.0,NEWELL BRANDS INC,2019-06-28,external,Michael B. Polk,Ravichandra K. Saligram,2018,2020
2754,8253,75362.0,PACCAR INC,2019-06-30,internal,"Ronald E. Armstrong, CPA",R. Preston Feight,2018,2020
7155,60979,943452.0,WABTEC CORP,2019-07-01,external,Raymond T. Betler,Rafael O. Santana,2018,2020
1083,3897,936340.0,DTE ENERGY CO,2019-07-01,internal,Gerard M. Anderson,Gerardo Norcia,2018,2020
1298,4430,,EQT CORP,2019-07-10,external,Robert J. McNally,Toby Z. Rice,2018,2020
7528,63501,,E TRADE FINANCIAL CORP,2019-08-14,internal,Karl A. Roessner,Michael A. Pizzi,2018,2020
8539,140541,1116132.0,TAPESTRY INC,2019-09-03,external,Victor Luis,Jide J. Zeitlin,2018,2020
921,3336,1688568.0,DXC TECHNOLOGY COMPANY,2019-09-12,external,John Michael Lawrie,Michael J. Salvino,2018,2020
8116,114524,1065088.0,EBAY INC,2019-09-24,external,Devin N. Wenig,Jamie Iannone,2018,2020
986,3505,24545.0,MOLSON COORS BREWING CO,2019-09-27,internal,Mark Roderick Hunter,Gavin D. K. Hattersley,2018,2020
1278,4383,731802.0,ATMOS ENERGY CORP,2019-09-30,internal,Michael E. Haefner,John Kevin Akers,2018,2020
2576,7881,1164727.0,NEWMONT MINING CORP,2019-10-01,internal,"Gary J. Goldberg, B.S., M.B.A.",Thomas R. Palmer,2018,2020
4881,14960,920148.0,LABORATORY CP OF AMER HLDGS,2019-10-31,external,"David P. King, J.D.",Adam H. Schechter,2018,2020
2301,7154,63908.0,MCDONALD'S CORP,2019-11-01,internal,Stephen J. Easterbrook,Christopher J. Kempczinski,2018,2020
5719,24197,874716.0,IDEXX LABS INC,2019-11-01,internal,Jonathan W. Ayers,Jonathan J. Mazelsky,2018,2020
1716,5606,47217.0,HP INC,2019-11-01,internal,Dion J. Weisler,Enrique J. Lores,2018,2020
1068,3835,315189.0,DEERE & CO,2019-11-04,internal,Samuel R. Allen,"John C. May, II",2018,2020
1504,4990,,GAP INC,2019-11-07,internal,Arthur Peck,Sonia Syngal,2018,2020
8629,143974,,ALLIANCE DATA SYSTEMS CORP,2019-11-18,external,Melisa A. Miller,Ralph J. Andretta,2018,2020
8883,160329,1652044.0,ALPHABET INC,2019-12-03,internal,Lawrence Edward Page,Sundar Pichai,2018,2020
8387,126296,1324424.0,EXPEDIA GROUP INC,2019-12-04,external,Mark D. Okerstrom,Peter M. Kern,2018,2020
511,2312,315213.0,ROBERT HALF INTL INC,2019-12-15,internal,"Harold Max Messmer, Jr.",M. Keith Waddell,2018,2020
501,2285,12927.0,BOEING CO,2019-12-23,external,Dennis A. Muilenburg,David L. Calhoun,2018,2020
881,3231,,COMERICA INC,2019-12-31,internal,"Ralph W. Babb, Jr.",Curtis Chatman Farmer,2018,2020
2659,8030,73309.0,NUCOR CORP,2019-12-31,internal,John J. Ferriola,Leon J. Topalian,2018,2020
4623,13721,1555280.0,ZOETIS INC,2019-12-31,internal,Juan Ramn Alaix,Kristin C. Peck,2018,2020
7848,65417,1041061.0,YUM BRANDS INC,2019-12-31,internal,Greg Creed,David W. Gibbs,2018,2020
1731,5667,48039.0,HOLLYFRONTIER CORP,2019-12-31,external,George J. Damiris,Michael C. Jennings,2018,2020
1882,6066,51143.0,INTL BUSINESS MACHINES CORP,2020-01-01,internal,Virginia M. Rometty,Arvind Krishna,2019,2020
6660,29099,910606.0,REGENCY CENTERS CORP,2020-01-01,internal,"Martin E. Stein, Jr.",Lisa Palmer,2019,2020
9029,165052,1336917.0,UNDER ARMOUR INC,2020-01-01,internal,Kevin A. Plank,Patrik Frisk,2019,2020
6801,29736,916365.0,TRACTOR SUPPLY CO,2020-01-12,external,Gregory A. Sandfort,"Harry A. Lawton, III",2019,2021
2587,7906,320187.0,NIKE INC -CL B,2020-01-13,external,Mark G. Parker,"John J. Donahoe, II",2019,2021
414,2111,10795.0,BECTON DICKINSON & CO,2020-01-28,internal,Vincent A. Forlenza,Thomas E. Polen,2019,2021
3465,10247,96021.0,SYSCO CORP,2020-01-31,external,Thomas L. Ben,Kevin P. Hourican,2019,2021
4211,12389,793952.0,HARLEY-DAVIDSON INC,2020-02-01,external,Matthew S. Levatich,Jochen Zeitz,2019,2021
1473,4885,38777.0,FRANKLIN RESOURCES INC,2020-02-11,internal,"Gregory Eugene Johnson, CPA, CPA",Jennifer M. Johnson,2019,2021
1148,4060,1666700.0,DUPONT DE NEMOURS INC,2020-02-18,internal,Marc C. Doyle,Edward D. Breen,2019,2021
1772,5742,1130310.0,CENTERPOINT ENERGY INC,2020-02-19,external,Scott M. Prochazka,David J. Lesar,2019,2021
1118,3980,1744489.0,DISNEY (WALT) CO,2020-02-26,internal,Robert A. Iger,Robert A. Chapek,2019,2021
9416,186989,1510295.0,MARATHON PETROLEUM CORP,2020-03-01,external,Gary R. Heminger,Michael J. Hennigan,2019,2021
3890,11399,106040.0,WESTERN DIGITAL CORP,2020-03-06,external,Stephen D. Milligan,David V. Goeckeler,2019,2021
4760,14418,789570.0,MGM RESORTS INTERNATIONAL,2020-03-22,internal,James Joseph Murren,William J. Hornbuckle,2019,2021
5765,24344,875320.0,VERTEX PHARMACEUTICALS INC,2020-03-31,internal,"Jeffrey Marc Leiden, M.D., Ph.D.","Reshma Kewalramani, M.D.",2019,2021
32,1078,1800.0,ABBOTT LABORATORIES,2020-03-31,internal,"Miles D. White, M.B.A.",Robert B. Ford,2019,2021
5185,17874,1283699.0,T-MOBILE US INC,2020-04-01,internal,John J. Legere,G. Michael Sievert,2019,2021
9266,179437,1410636.0,AMERICAN WATER WORKS CO INC,2020-04-01,internal,Susan N. Story,Walter J. Lynch,2019,2021
2876,8543,764180.0,ALTRIA GROUP INC,2020-04-14,internal,"Howard A. Willard, III, BA (Hons), MBA","William F. Gifford, Jr.",2019,2021
6804,29751,915913.0,ALBEMARLE CORP,2020-04-20,external,"Luther C. Kissam, IV","J. Kent Masters, Jr.",2019,2021
2325,7228,1613103.0,MEDTRONIC PLC,2020-04-26,internal,S. Omar Ishrak,Geoffrey S. Martha,2019,2021
3285,9783,91576.0,KEYCORP,2020-05-01,internal,Beth E. Mooney,Christopher M. Gorman,2019,2021
3670,10795,100517.0,UNITED CONTINENTAL HLDGS INC,2020-05-20,internal,Oscar Munoz,J. Scott Kirby,2019,2021
2830,8455,922224.0,PPL CORP,2020-05-31,internal,William H. Spence,Vincent Sorgi,2019,2021
1324,4510,37785.0,FMC CORP,2020-05-31,internal,Pierre R. Brondeau,Mark A. Douglas,2019,2021
3723,10920,1090727.0,UNITED PARCEL SERVICE INC,2020-06-01,external,David P. Abney,Carol B. Tome,2019,2021
2165,6774,936468.0,LOCKHEED MARTIN CORP,2020-06-15,external,Marillyn A. Hewson,"James D. Taiclet, Jr.",2019,2021
3317,9899,732717.0,AT&T INC,2020-06-30,internal,Randall L. Stephenson,John T. Stankey,2019,2021
4307,12635,798354.0,FISERV INC,2020-07-01,external,"Jeffery W. Yabuki, B.S., CPA",Frank J. Bisignano,2019,2021
8540,140541,1116132.0,TAPESTRY INC,2020-07-20,internal,Jide J. Zeitlin,Joanne C. Crevoiserat,2019,2021
7060,31587,935703.0,DOLLAR TREE INC,2020-07-20,internal,Gary M. Philbin,Michael A. Witynski,2019,2021
838,3121,21076.0,CLOROX CO/DE,2020-08-03,internal,Benno O. Dorer,Linda Rendle,2019,2021
9127,175319,1359841.0,HANESBRANDS INC,2020-08-03,external,"Gerald W. Evans, Jr.",Stephen B. Bratspies,2019,2021
4144,12151,1024305.0,COTY INC,2020-09-01,external,Peter Harf,Sue Y. Nabi,2019,2021
1048,3735,313616.0,DANAHER CORP,2020-09-01,internal,"Thomas P. Joyce, Jr.",Rainer M. Blair,2019,2021
10105,61574,1000697.0,WATERS CORP,2020-09-01,external,Christopher James O'Connell,"Udit Batra, Ph.D.",2019,2021
1126,4029,715957.0,DOMINION ENERGY INC,2020-10-01,internal,"Thomas F. Farrell, II",Robert M. Blue,2019,2021
1457,4839,37996.0,FORD MOTOR CO,2020-10-01,internal,James Patrick Hackett,"James D. Farley, Jr.",2019,2021
3661,10793,100493.0,TYSON FOODS INC  -CL A,2020-10-03,external,Noel White,"Samuel Dean Banks, Jr.",2019,2021
1684,5543,766704.0,WELLTOWER INC,2020-10-05,internal,Thomas J. DeRosa,Shankh S. Mitra,2019,2021
2691,8099,1031296.0,FIRSTENERGY CORP,2020-10-29,internal,"Charles E. Jones, Jr.",Steven E. Strah,2019,2021
961,3439,201533.0,CMS ENERGY CORP,2020-12-01,internal,Patricia Kessler Poppe,Garrick J. Rochow,2019,2021
4923,15267,832101.0,IDEX CORP,2020-12-15,internal,Andrew K. Silvernail,Eric D. Ashleman,2019,2021
8528,139665,1059556.0,MOODY'S CORP,2020-12-31,internal,"Raymond W. McDaniel, Jr.",Robert S. Fauber,2019,2021
1927,6136,,INTERPUBLIC GROUP OF COS,2021-01-01,internal,Michael Isor Roth,Philippe Krakowsky,2020,2021
1232,4213,31462.0,ECOLAB INC,2021-01-01,internal,"Douglas M. Baker, Jr.",Christophe Beck,2020,2021
9981,11032,352915.0,UNIVERSAL HEALTH SVCS INC,2021-01-01,internal,Alan B. Miller,Marc D. Miller,2020,2021
8878,160225,1141391.0,MASTERCARD INC,2021-01-01,internal,Ajaypal S. Banga,Michael Miebach,2020,2021
8916,161844,1300514.0,LAS VEGAS SANDS CORP,2021-01-11,internal,Sheldon Gary Adelson,Robert G. Goldstein,2020,2022
9931,7241,64803.0,CVS HEALTH CORP,2021-01-31,internal,Larry J. Merlo,Karen S. Lynch,2020,2022
2884,8551,78239.0,PVH CORP,2021-02-01,internal,Emanuel Chirico,Stefan Larsson,2020,2022
3714,10903,731766.0,UNITEDHEALTH GROUP INC,2021-02-04,internal,David Scott Wichmann,Sir Andrew Witty,2020,2022
1262,4321,32604.0,EMERSON ELECTRIC CO,2021-02-05,internal,David N. Farr,Surendralal Karsanbhai,2020,2022
1858,6008,50863.0,INTEL CORP,2021-02-15,external,Robert Holmes Swan,Patrick P. Gelsinger,2020,2022
6630,28930,1048286.0,MARRIOTT INTL INC,2021-02-16,internal,Arne M. Sorenson,Anthony G. Capuano,2020,2022
890,3243,831001.0,CITIGROUP INC,2021-02-26,internal,Michael L. Corbat,Jane Fraser,2020,2022
167,1487,5272.0,AMERICAN INTERNATIONAL GROUP,2021-03-01,internal,Brian Charles Duperreault,Peter S. Zaffino,2020,2022
3840,11264,1618921.0,WALGREENS BOOTS ALLIANCE INC,2021-03-01,external,Stefano Pessina,Rosalind G. Brewer,2020,2022
6412,27965,827054.0,MICROCHIP TECHNOLOGY INC,2021-03-01,internal,Stephen Sanghi,Ganesh Moorthy,2020,2022
74,1230,766421.0,ALASKA AIR GROUP INC,2021-03-31,internal,Bradley D. Tilden,Benito Minicucci,2020,2022
7913,65772,1037646.0,METTLER-TOLEDO INTL INC,2021-04-01,external,Olivier A. Filliol,Patrick K. Kaltenbach,2020,2022
5331,20686,1601712.0,SYNCHRONY FINANCIAL,2021-04-01,internal,Margaret M. Keane,Brian D. Doubles,2020,2022
10156,175955,1111928.0,IPG PHOTONICS CORP,2021-05-04,internal,"Valentin P. Gapontsev, Ph.D.","Eugene Scherbakov, Ph.D.",2020,2022
2610,7970,72741.0,EVERSOURCE ENERGY,2021-05-05,internal,James J. Judge,"Joseph R. Nolan, Jr.",2020,2022
9281,179621,1413329.0,PHILIP MORRIS INTERNATIONAL,2021-05-05,internal,Andre Calantzopoulos,Jacek Olczak,2020,2022
802,3062,723254.0,CINTAS CORP,2021-05-31,internal,Scott D. Farmer,Todd M. Schneider,2020,2022
9224,178704,1403568.0,ULTA BEAUTY INC,2021-06-02,internal,Mary N. Dillon,David C. Kimbell,2020,2022
3662,10793,100493.0,TYSON FOODS INC  -CL A,2021-06-02,internal,"Samuel Dean Banks, Jr.",Donnie D. King,2020,2022
8079,112168,1060391.0,REPUBLIC SERVICES INC,2021-06-25,internal,Donald W. Slager,Jon Vander Ark,2020,2022
2710,8151,1039684.0,ONEOK INC,2021-06-28,external,Terry K. Spencer,"Pierce H. Norton, II",2020,2022
2346,7257,310158.0,MERCK & CO,2021-06-30,internal,Kenneth C. Frazier,Robert M. Davis,2020,2022
1827,5959,1466258.0,TRANE TECHNOLOGIES PLC,2021-07-01,internal,Michael W. Lamach,David S. Regnery,2020,2022
10114,64768,1018724.0,AMAZON.COM INC,2021-07-05,internal,Jeffrey P. Bezos,Andrew R. Jassy,2020,2022
6108,25313,1757898.0,STERIS PLC,2021-07-29,internal,"Walter M. Rosebrough, Jr.",Daniel A. Carestio,2020,2022
2619,7977,72903.0,XCEL ENERGY INC,2021-08-18,internal,"Benjamin Gwynn Stonestreet Fowke, III",Robert C. Frenzel,2020,2022
4373,12850,,CERNER CORP,2021-08-19,external,David Brent Shafer,"David T. Feinberg, M.D.",2020,2022
5026,16478,821189.0,EOG RESOURCES INC,2021-10-01,internal,William R. Thomas,Ezra Y. Yacob,2020,2022
1675,5518,46080.0,HASBRO INC,2021-10-10,internal,Brian D. Goldner,Christian P. Cocks,2020,2022
8402,126721,1094285.0,TELEDYNE TECHNOLOGIES INC,2021-10-15,internal,Aldo Pichelli,"Robert Mehrabian, Ph.D.",2020,2022
10358,35168,1755672.0,CORTEVA INC,2021-11-01,external,"James C. Collins, Jr.",Charles V. Magro,2020,2022
2965,8762,80424.0,PROCTER & GAMBLE CO,2021-11-01,internal,David S. Taylor,Jon R. Moeller,2020,2022
5236,18872,,TWITTER INC,2021-11-29,internal,Jack Dorsey,Parag Agrawal,2020,2022
9122,175263,1365135.0,WESTERN UNION CO,2021-12-01,external,Hikmet Ersek,Devin B. McGranahan,2020,2022
4537,13421,813672.0,CADENCE DESIGN SYSTEMS INC,2021-12-15,internal,Lip-Bu Tan,"Anirudh Devgan, Ph.D.",2020,2022
2125,6649,,LEGGETT & PLATT INC,2021-12-31,internal,Karl G. Glassman,J. Mitchell Dolloff,2020,2022
4124,12138,1113169.0,PRICE (T. ROWE) GROUP,2021-12-31,internal,"William J. Stromberg, C.F.A.",Robert W. Sharps,2020,2022
8843,157057,1267238.0,ASSURANT INC,2021-12-31,internal,Alan B. Colberg,Keith W. Demmings,2020,2022
4722,14275,,FIRST REPUBLIC BANK,2022-01-01,internal,"James H. Herbert, II",Michael J. Roffler,2021,2022
3694,10860,1002910.0,AMEREN CORP,2022-01-01,internal,"Warner L. Baxter, CPA, CPA","Martin J. Lyons, Jr.",2021,2022
1978,6266,200406.0,JOHNSON & JOHNSON,2022-01-02,internal,Alex Gorsky,Joaquin Duato,2021,2023
6464,28191,884887.0,ROYAL CARIBBEAN CRUISES LTD,2022-01-03,internal,Richard D. Fain,Jason T. Liberty,2021,2023
6824,29875,915912.0,AVALONBAY COMMUNITIES INC,2022-01-03,external,Timothy J. Naughton,Benjamin W. Schall,2021,2023
8762,149318,1174922.0,WYNN RESORTS LTD,2022-01-31,internal,Matthew Ode Maddox,Craig S. Billings,2021,2023
3312,9882,92380.0,SOUTHWEST AIRLINES,2022-02-01,internal,Gary C. Kelly,Robert E. Jordan,2021,2023
3965,11550,783325.0,WEC ENERGY GROUP INC,2022-02-01,internal,Joseph Kevin Fletcher,Scott J. Lauber,2021,2023
10167,179437,1410636.0,AMERICAN WATER WORKS CO INC,2022-02-02,internal,Walter J. Lynch,M. Susan Hardwick,2021,2023
2615,7974,1111711.0,NISOURCE INC,2022-02-14,external,Joseph J. Hamrock,Lloyd M. Yates,2021,2023
1888,6078,51253.0,INTL FLAVORS & FRAGRANCES,2022-02-14,external,Andreas Fibig,Frank Clyburn,2021,2023
6046,25124,1707925.0,LINDE PLC,2022-03-01,internal,Stephen F. Angel,Sanjiv Lamba,2021,2023
1740,5680,354950.0,HOME DEPOT INC,2022-03-01,internal,Craig A. Menear,Edward P. Decker,2021,2023
1327,4517,753308.0,NEXTERA ENERGY INC,2022-03-01,internal,James L. Robo,John W. Ketchum,2021,2023
16,1045,6201.0,AMERICAN AIRLINES GROUP INC,2022-03-31,internal,William Douglas Parker,"Robert D. Isom, Jr.",2021,2023
10061,25434,829224.0,STARBUCKS CORP,2022-04-04,external,Kevin R. Johnson,Laxman Narasimhan,2021,2023
8677,145552,1071739.0,CENTENE CORP,2022-04-07,internal,Michael Frederic Neidorff,Sarah M. London,2021,2023
4610,13700,818479.0,DENTSPLY SIRONA INC,2022-04-19,external,"Donald M. Casey, Jr.",Simon D. Campion,2021,2023
5303,20232,1601046.0,KEYSIGHT TECHNOLOGIES INC,2022-04-30,internal,Ronald S. Nersesian,Satish C. Dhanasekaran,2021,2023
2601,7923,702165.0,NORFOLK SOUTHERN CORP,2022-05-01,internal,James A. Squires,Alan H. Shaw,2021,2023
4239,12459,906163.0,NVR INC,2022-05-05,internal,Paul C. Saville,Eugene J. Bredow,2021,2023
9324,180652,1442145.0,VERISK ANALYTICS INC,2022-05-18,internal,Scott G. Stephenson,Lee M. Shavel,2021,2023
2150,6742,59558.0,LINCOLN NATIONAL CORP,2022-05-27,internal,Dennis Robert Glass,Ellen G. Cooper,2021,2023
7081,31846,940944.0,DARDEN RESTAURANTS INC,2022-05-29,internal,"Eugene I. Lee, Jr.",Ricardo Cardenas,2021,2023
10067,26061,891103.0,MATCH GROUP INC,2022-05-31,external,Sharmistha Dubey,Bernard Kim,2021,2023
1336,4598,1048911.0,FEDEX CORP,2022-06-01,internal,Frederick W. Smith,Rajesh Subramaniam,2021,2023
10152,165052,1336917.0,UNDER ARMOUR INC,2022-06-01,external,Patrik Frisk,Stephanie Linnartz,2021,2023
3366,10016,93556.0,STANLEY BLACK & DECKER INC,2022-07-01,internal,James M. Loree,"Donald Allan, Jr.",2021,2023
5302,20228,,CATALENT INC,2022-07-01,internal,John R. Chiminski,Alessandro Maselli,2021,2023
10375,170841,1534701.0,PHILLIPS 66,2022-07-01,internal,Greg C. Garland,Mark E. Lashier,2021,2023
1371,4640,35527.0,FIFTH THIRD BANCORP,2022-07-05,internal,Gregory D. Carmichael,Timothy N. Spence,2021,2023
10316,28877,1418135.0,KEURIG DR PEPPER INC,2022-07-29,internal,Robert J. Gamgort,Ozan Dokmecioglu,2021,2023
1027,3650,26172.0,CUMMINS INC,2022-08-01,internal,Norman Thomas Linebarger,Jennifer W. Rumsey,2021,2023
661,2751,721371.0,CARDINAL HEALTH INC,2022-09-01,internal,Michael C. Kaufmann,Jason M. Hollar,2021,2023
9584,8402,723531.0,PAYCHEX INC,2022-10-14,internal,Martin Mucci,John B. Gibson,2021,2023
7669,64166,1022079.0,QUEST DIAGNOSTICS INC,2022-11-01,internal,Stephen H. Rusckowski,James E. Davis,2021,2023
1124,4016,29534.0,DOLLAR GENERAL CORP,2022-11-01,internal,Todd J. Vasos,Jeffery C. Owen,2021,2023
9883,2884,18926.0,LUMEN TECHNOLOGIES INC,2022-11-07,external,Jeffrey K. Storey,Kate Johnson,2021,2023
6103,25283,,KOHL'S CORP,2022-11-08,external,Michelle D. Gass,Thomas A. Kingsbury,2021,2023
10213,28877,1418135.0,KEURIG DR PEPPER INC,2022-11-10,internal,Ozan Dokmecioglu,Robert J. Gamgort,2021,2023
2868,8539,1109357.0,EXELON CORP,2022-12-30,internal,Christopher Mark Crane,"Calvin G. Butler, Jr.",2021,2023
